"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220020300""|""Sala de 5 años""|NULL|""2"""
"""220020400""|""Sala de 4 años""|""Mañana""|""22"""
"""220020400""|""Sala de 4 años""|""Tarde""|""42"""
"""220020400""|""Sala de 4 años""|NULL|""64"""
"""220020400""|""Sala de 5 años""|""Mañana""|""68"""
"""220020400""|""Sala de 5 años""|""Tarde""|""66"""
"""220020400""|""Sala de 5 años""|NULL|""134"""
"""220020500""|""Sala de 4 años""|""Mañana""|""5"""
"""220020500""|""Sala de 4 años""|NULL|""5"""
"""220020500""|""Sala de 5 años""|""Mañana""|""7"""
"""220020500""|""Sala de 5 años""|NULL|""7"""
"""220021200""|""Sala de 3 años""|""Mañana""|""1"""
"""220021200""|""Sala de 3 años""|NULL|""1"""
"""220021200""|""Sala de 4 años""|""Mañana""|""3"""
"""220021200""|""Sala de 4 años""|NULL|""3"""
"""220021200""|""Sala de 5 años""|""Mañana""|""6"""
"""220021200""|""Sala de 5 años""|NULL|""6"""
"""220021300""|""Sala de 4 años""|""Mañana""|""3"""
"""220021300""|""Sala de 4 años""|NULL|""3"""
"""220021300""|""Sala de 5 años""|""Mañana""|""5"""
"""220021300""|""Sala de 5 años""|NULL|""5"""
"""220021400""|""Sala de 3 años""|""Tarde""|""7"""
"""220021400""|""Sala de 3 años""|NULL|""7"""
"""220021400""|""Sala de 4 años""|""Tarde""|""6"""
"""220021400""|""Sala de 4 años""|NULL|""6"""
"""220021400""|""Sala de 5 años""|""Mañana""|""7"""
"""220021400""|""Sala de 5 años""|NULL|""7"""
"""220022100""|""Sala de 3 años""|""Mañana""|""3"""
"""220022100""|""Sala de 3 años""|NULL|""3"""
"""220022100""|""Sala de 4 años""|""Mañana""|""2"""
"""220022100""|""Sala de 4 años""|NULL|""2"""
"""220022100""|""Sala de 5 años""|""Mañana""|""2"""
"""220022100""|""Sala de 5 años""|NULL|""2"""
"""220022200""|""Sala de 3 años""|""Mañana""|""1"""
"""220022200""|""Sala de 3 años""|NULL|""1"""
"""220022200""|""Sala de 4 años""|""Mañana""|""3"""
"""220022200""|""Sala de 4 años""|NULL|""3"""
"""220022200""|""Sala de 5 años""|""Mañana""|""4"""
