"codigo"|"calles"|"long"|"lat"|"empresa"|"orden"|"distan_paradas"|"lineas"|"Unnamed: 8"
"C02513"|"Tatane y Rodriguez Peña"|"-58.949289999999998"|"-27.49139"|"Línea 203 Barranqueras - Puerto Vilelas IDA"|"34"|"216.0"|"Línea 203 "|""
"C02277"|"OBLIGADO Y MIGUEL DELFINO"|"-58.969459999999998"|"-27.471"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"41"|"238.0"|"Línea 104 "|""
"C02514"|"Tatane y Franklin"|"-58.950510000000001"|"-27.49249"|"Línea 203 Barranqueras - Puerto Vilelas IDA"|"35"|"172.0"|"Línea 203 "|""
"C02278"|"OBLIGADO Y AV. URQUIZA"|"-58.967750000000002"|"-27.47254"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"42"|"241.0"|"Línea 104 "|""
"C02515"|"Tatane y Av. Castelli"|"-58.952249999999999"|"-27.49403"|"Línea 203 Barranqueras - Puerto Vilelas IDA"|"36"|"242.0"|"Línea 203 "|""
"C00230"|"DIAGONAL EVA PERON Y DON ORIONE"|"-58.938270000000003"|"-27.48308"|"Línea  207 Fontana - Barranqueras VUELTA"|"64"|"527.0"|"Línea  207 "|""
"C02516"|"Tatane y Alem"|"-58.953159999999997"|"-27.49484"|"Línea 106 C Barrio Juan Domingo Perón - Barrio 200 Viviendas (Barranqueras) IDA"|"45"|"128.0"|"Línea 106 C "|""
"C00231"|"DIAG. EVA PERON Y AV. GRAL SAN MARTIN"|"-58.936529999999998"|"-27.48307"|"Línea 204 Fontana - Barranqueras VUELTA"|"54"|"173.0"|"Línea 204 "|""
"C00232"|"AV. GRAL. SAN MARTIN Y SGTO. CABRAL"|"-58.935150000000000"|"-27.48217"|"Línea  207 Fontana - Barranqueras VUELTA"|"65"|"336.0"|"Línea  207 "|""
"C02279"|"OBLIGADO Y CODUTTI"|"-58.965930000000000"|"-27.4741"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"43"|"250.0"|"Línea 104 "|""
"C00596"|"AV ALBERDI Y JUJUY"|"-58.991830000000000"|"-27.45573"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"44"|"267.0"|"Línea 9 B "|""
"C01600"|"Av Alvear y Lago Nahuel Huapi"|"-59.023530000000001"|"-27.43122"|"Línea  207 Fontana - Barranqueras VUELTA"|"15"|"273.0"|"Línea  207 "|""
"C00233"|"AV. GRAL. SAN MARTIN Y ALICE LE SAIGE"|"-58.932420000000000"|"-27.47969"|"Línea  207 Fontana - Barranqueras VUELTA"|"66"|"386.0"|"Línea  207 "|""
"C02013"|"OBLIGADO N°260"|"-58.986780000000003"|"-27.45569"|"Línea 8 D  Asentamiento 29 de Agosto - Barrio UOM IDA"|"22"|"358.0"|"Línea 8 D "|""
